creator_id,creator_name,category,followers,videos_this_month,follower_growth_rate,avg_views_per_video,engagement_rate,reject_rate,tier
CR263,Trang Makeup 81,Thời trang & Làm đẹp,11696,47,13.92%,2782,8.11%,0.93%,Tier 3
CR264,Tuấn Makeup 22,Giải trí,46465,51,5.09%,13384,5.49%,18.78%,Tier 3
CR265,Trang Food 62,Công nghệ,10042,22,21.44%,2982,9.73%,8.05%,Tier 3
CR266,An Channel 89,Du lịch & Đời sống,2286316,5,11.16%,138395,10.45%,21.29%,Tier 2
CR267,Đức Channel 94,Du lịch & Đời sống,2489389,74,20.70%,693558,4.60%,34.32%,Tier 1
CR268,Trang Tv 59,Giáo dục & Kiến thức,39371,55,18.68%,9382,8.93%,28.69%,Tier 3
CR269,Kiều Vlog 21,Du lịch & Đời sống,64116,48,6.19%,14275,5.84%,1.37%,Tier 2
CR270,Kiên Vlog 41,Giải trí,28947,24,9.67%,7426,5.57%,11.98%,Tier 3
CR271,Quỳnh Official 21,Du lịch & Đời sống,2464125,11,-2.23%,299941,10.55%,20.50%,Tier 2
CR272,An Tech 71,Giải trí,9166,10,-3.10%,3013,5.48%,25.39%,Mass
CR273,Tuấn Review 58,Ẩm thực,793793,82,5.80%,265512,8.70%,70.05%,Tier 1
CR274,Hoàng Studio 83,Thời trang & Làm đẹp,52712,31,21.94%,7393,5.75%,5.26%,Tier 2
CR275,Minh Vlog 59,Thời trang & Làm đẹp,73710,28,4.64%,23618,11.01%,10.79%,Tier 2
CR276,Hoàng Review 62,Du lịch & Đời sống,40589,32,2.99%,9973,4.36%,8.19%,Tier 3
CR277,Hà Tech 84,Giải trí,5566,12,-3.16%,681,4.63%,0.33%,Mass
CR278,Quỳnh Makeup 41,Du lịch & Đời sống,40349,60,15.95%,10365,5.39%,5.50%,Tier 3
CR279,Tuấn Official 34,Công nghệ,31896,41,22.22%,5393,8.15%,2.32%,Tier 3
CR280,Trang Official 30,Giải trí,75081,37,2.95%,17403,8.78%,6.35%,Tier 2
CR281,Linh Tv 71,Giáo dục & Kiến thức,58710,46,16.49%,16087,5.03%,5.13%,Tier 2
CR282,Lan Tv 95,Ẩm thực,23813,44,3.35%,6932,8.44%,21.57%,Tier 3
CR283,Đức Food 38,Công nghệ,35464,31,11.43%,2031,2.13%,9.98%,Tier 3
CR284,Quỳnh Channel 85,Công nghệ,12796,58,10.80%,2546,7.27%,22.98%,Tier 3
CR285,Minh Food 93,Công nghệ,42134,54,20.45%,13717,2.44%,15.78%,Tier 3
CR286,Hoàng Tech 29,Thời trang & Làm đẹp,2530556,80,16.90%,512654,9.46%,43.06%,Tier 1
CR287,Bình Food 21,Công nghệ,21483,37,20.75%,7219,4.72%,2.80%,Tier 3
CR288,Kiều Tech 85,Du lịch & Đời sống,43268,53,0.65%,14000,2.38%,16.78%,Tier 3
CR289,Nam Vlog 41,Giải trí,807156,119,20.18%,138826,2.02%,65.69%,Tier 1
CR290,Đức Channel 84,Thời trang & Làm đẹp,25681,18,-2.34%,2798,9.00%,6.66%,Tier 3
CR291,Hà Beauty 73,Thời trang & Làm đẹp,8215,34,-4.27%,2575,10.33%,1.83%,Mass
CR292,Nam Official 24,Công nghệ,60798,47,20.93%,15254,8.44%,8.02%,Tier 2
CR293,Linh Tips 94,Thời trang & Làm đẹp,8614,6,7.58%,2192,7.27%,11.27%,Mass
CR294,Kiều Channel 99,Ẩm thực,45234,52,7.76%,3159,1.68%,22.78%,Tier 3
CR295,Kiều Beauty 15,Giải trí,97332,75,0.96%,26716,9.33%,3.89%,Tier 2
CR296,Quỳnh Beauty 20,Giải trí,11499,19,16.70%,2615,8.48%,22.83%,Tier 3
CR297,Nam Tech 84,Thời trang & Làm đẹp,11370,51,2.91%,3280,3.71%,25.25%,Tier 3
CR298,Kiều Channel 97,Du lịch & Đời sống,7830,30,22.27%,2774,8.25%,1.02%,Mass
CR299,Quỳnh Vlog 57,Giải trí,29022,18,17.34%,7508,11.25%,27.46%,Tier 3
CR300,Đức Official 21,Ẩm thực,76039,58,-3.15%,6614,9.49%,8.89%,Tier 2
CR301,An Studio 35,Giải trí,1115562,40,12.05%,376529,9.20%,46.61%,Tier 2
CR302,Kiều Tv 92,Du lịch & Đời sống,3817,26,17.06%,1682,5.18%,18.32%,Mass
CR303,Hoàng Official 11,Công nghệ,46373,44,9.43%,13177,3.96%,19.09%,Tier 3
CR304,Lan Studio 81,Du lịch & Đời sống,45084,33,13.02%,5410,3.67%,5.73%,Tier 3
CR305,Lan Tips 76,Thời trang & Làm đẹp,16547,46,18.23%,2452,9.74%,5.55%,Tier 3
CR306,Tuấn Studio 28,Công nghệ,84497,43,19.57%,9609,8.44%,15.60%,Tier 2
CR307,Linh Food 61,Thời trang & Làm đẹp,46697,59,15.34%,6194,3.82%,20.02%,Tier 3
CR308,Linh Tv 18,Du lịch & Đời sống,38468,31,18.12%,3012,4.02%,4.60%,Tier 3
CR309,Linh Beauty 18,Du lịch & Đời sống,1333279,111,15.35%,309016,10.04%,6.74%,Tier 1
CR310,Bình Studio 84,Ẩm thực,2252639,43,-4.82%,497495,3.20%,76.18%,Tier 2
CR311,Linh Makeup 84,Công nghệ,73640,60,10.44%,15387,7.95%,14.37%,Tier 2
CR312,Kiên Tips 87,Thời trang & Làm đẹp,40993,49,10.38%,3650,9.22%,15.36%,Tier 3
CR313,Linh Food 92,Du lịch & Đời sống,3392038,92,0.51%,998811,9.28%,7.84%,Tier 1
CR314,Quỳnh Tv 72,Công nghệ,40236,25,13.92%,4974,4.01%,21.12%,Tier 3
CR315,Linh Food 93,Ẩm thực,2476235,84,20.25%,147284,10.63%,54.35%,Tier 1
CR316,Minh Review 28,Giải trí,2371901,90,11.61%,665694,1.33%,8.42%,Tier 1
CR317,Nam Review 45,Giáo dục & Kiến thức,13733,39,4.50%,4182,7.22%,6.48%,Tier 3
CR318,Lan Studio 71,Du lịch & Đời sống,2213105,56,20.97%,521568,9.44%,9.58%,Tier 1
CR319,An Tech 69,Giáo dục & Kiến thức,30828,39,2.56%,4890,8.12%,5.21%,Tier 3
CR320,Bình Makeup 14,Ẩm thực,84497,55,18.94%,5503,8.74%,14.82%,Tier 2
CR321,Đức Studio 54,Thời trang & Làm đẹp,27290,38,7.72%,9678,9.22%,29.38%,Tier 3
CR322,Kiều Tv 88,Giáo dục & Kiến thức,3112922,106,22.10%,389202,8.73%,78.12%,Tier 1
CR323,An Food 47,Du lịch & Đời sống,17327,52,20.82%,4149,10.09%,16.11%,Tier 3
CR324,Minh Food 49,Giải trí,43617,30,22.24%,13503,8.24%,26.73%,Tier 3
CR325,Đức Food 76,Giáo dục & Kiến thức,14231,35,7.95%,1615,6.00%,22.69%,Tier 3
CR326,Tuấn Food 83,Du lịch & Đời sống,119908,13,5.78%,26772,4.53%,6.12%,Tier 2
CR327,Đức Tech 21,Thời trang & Làm đẹp,1035223,9,18.47%,298323,10.08%,29.30%,Tier 2
CR328,Kiên Review 91,Du lịch & Đời sống,11737,40,20.43%,961,8.24%,6.33%,Tier 3
CR329,Tuấn Vlog 83,Giải trí,1186808,11,-1.90%,243212,5.12%,12.02%,Tier 2
CR330,Minh Review 51,Công nghệ,15794,54,11.42%,2998,2.76%,6.95%,Tier 3
CR331,Linh Tips 92,Công nghệ,35518,39,11.63%,6963,5.59%,16.10%,Tier 3
CR332,Bình Tips 20,Ẩm thực,7479,49,18.51%,662,8.43%,28.93%,Mass
CR333,Hoàng Makeup 52,Du lịch & Đời sống,10947,35,14.13%,2741,8.24%,5.06%,Tier 3
CR334,Hà Beauty 97,Thời trang & Làm đẹp,74842,34,5.26%,25359,4.14%,1.82%,Tier 2
CR335,Kiều Beauty 95,Ẩm thực,28329,33,17.19%,9499,2.87%,20.30%,Tier 3
CR336,Bình Makeup 23,Ẩm thực,42605,32,0.50%,6647,11.71%,6.00%,Tier 3
CR337,Quỳnh Channel 59,Giải trí,1687661,61,10.36%,536256,9.13%,5.81%,Tier 1
CR338,Hà Studio 79,Thời trang & Làm đẹp,36633,40,22.54%,10045,4.99%,17.22%,Tier 3
CR339,Trang Vlog 70,Công nghệ,2351,32,11.24%,215,10.60%,3.41%,Mass
CR340,Trang Channel 80,Giải trí,19102,26,0.37%,1163,10.98%,2.09%,Tier 3
CR341,Hoàng Review 72,Thời trang & Làm đẹp,40255,53,15.02%,4118,2.89%,17.43%,Tier 3
CR342,Kiên Makeup 64,Du lịch & Đời sống,2034302,8,6.88%,168782,10.90%,13.80%,Tier 2
CR343,Trang Makeup 47,Thời trang & Làm đẹp,27912,33,8.87%,6235,3.47%,8.00%,Tier 3
CR344,Nam Vlog 76,Du lịch & Đời sống,19226,22,13.22%,2506,6.46%,22.14%,Tier 3
CR345,Kiên Channel 36,Thời trang & Làm đẹp,1267707,118,18.54%,316865,5.28%,5.80%,Tier 1
CR346,Kiều Review 14,Thời trang & Làm đẹp,255472,55,16.02%,15016,11.02%,9.11%,Tier 1
CR347,Tuấn Food 54,Ẩm thực,23613,49,5.98%,6140,3.22%,11.96%,Tier 3
CR348,Tuấn Studio 98,Công nghệ,1323488,70,5.57%,140442,6.60%,37.32%,Tier 1
CR349,Bình Tech 43,Ẩm thực,21439,22,12.80%,6436,11.87%,4.63%,Tier 3
CR350,An Channel 58,Công nghệ,63961,57,15.23%,17707,10.91%,12.17%,Tier 2
CR351,Bình Review 82,Giải trí,2859945,15,16.34%,408571,2.32%,28.72%,Tier 2
CR352,Quỳnh Vlog 68,Giải trí,64850,80,12.03%,16158,3.52%,1.92%,Tier 2
CR353,Linh Tv 99,Ẩm thực,1987372,6,16.16%,234517,6.29%,22.51%,Tier 2
CR354,Đức Studio 34,Giáo dục & Kiến thức,1436952,69,22.30%,80637,6.26%,7.55%,Tier 1
CR355,Tuấn Food 87,Giải trí,1238259,92,-0.22%,82568,1.25%,7.63%,Tier 1
CR356,Hoàng Food 26,Thời trang & Làm đẹp,11241,57,4.77%,1029,5.88%,1.45%,Tier 3
CR357,Minh Channel 25,Ẩm thực,33896,50,6.10%,4554,8.94%,27.19%,Tier 3
CR358,Quỳnh Studio 14,Ẩm thực,46284,27,22.56%,12082,3.47%,7.66%,Tier 3
CR359,Nam Channel 71,Du lịch & Đời sống,2047207,9,-1.38%,499766,8.55%,21.12%,Tier 2
CR360,Kiên Review 61,Ẩm thực,86839,61,-4.57%,26014,6.49%,9.73%,Tier 2
CR361,An Food 53,Ẩm thực,35412,43,14.80%,5076,2.84%,17.59%,Tier 3
CR362,Lan Studio 73,Giải trí,2119600,71,18.67%,530879,2.36%,2.35%,Tier 1
CR363,Bình Food 95,Giải trí,4566,22,8.61%,1435,10.24%,19.31%,Mass
CR364,Hoàng Vlog 59,Thời trang & Làm đẹp,14392,27,-1.33%,2625,6.42%,27.83%,Tier 3
CR365,Linh Tv 41,Ẩm thực,8615,33,1.53%,1253,8.50%,5.72%,Mass
CR366,Kiều Official 86,Giáo dục & Kiến thức,46440,32,-2.34%,7736,8.53%,19.28%,Tier 3
CR367,An Tech 60,Du lịch & Đời sống,8705,54,18.79%,1867,1.25%,13.42%,Mass
CR368,Minh Tech 76,Công nghệ,48369,57,17.24%,15530,5.62%,21.32%,Tier 3
CR369,Tuấn Official 43,Du lịch & Đời sống,45370,21,9.82%,7662,7.71%,2.16%,Tier 3
CR370,Bình Official 49,Giáo dục & Kiến thức,13366,19,3.69%,2374,11.10%,3.06%,Tier 3
CR371,An Tech 73,Công nghệ,48455,33,1.65%,8004,2.89%,15.77%,Tier 3
CR372,Hoàng Official 73,Giáo dục & Kiến thức,23331,23,17.87%,5857,8.41%,21.07%,Tier 3
CR373,An Beauty 16,Giáo dục & Kiến thức,1258592,90,13.52%,100860,10.55%,5.70%,Tier 1
CR374,Nam Tech 18,Giáo dục & Kiến thức,21093,60,22.64%,2018,4.20%,7.16%,Tier 3
CR375,Bình Makeup 89,Du lịch & Đời sống,323395,119,10.56%,48609,10.06%,0.73%,Tier 1
CR376,Hoàng Channel 81,Giải trí,1868017,9,14.12%,540756,10.75%,9.42%,Tier 2
CR377,Hà Tips 58,Du lịch & Đời sống,32182,36,8.84%,2170,6.38%,13.73%,Tier 3
CR378,Quỳnh Tv 25,Giải trí,46721,41,5.91%,13192,1.60%,3.45%,Tier 3
CR379,Kiều Vlog 52,Ẩm thực,21524,34,2.60%,5423,9.50%,26.18%,Tier 3
CR380,Hoàng Official 92,Du lịch & Đời sống,38777,23,6.50%,8916,4.10%,22.44%,Tier 3
CR381,Linh Tech 41,Thời trang & Làm đẹp,15805,25,-1.87%,4480,1.98%,4.64%,Tier 3
CR382,Lan Makeup 68,Giải trí,88888,80,14.07%,17970,7.14%,10.01%,Tier 2
CR383,Lan Tips 56,Ẩm thực,12530,34,-3.36%,2172,5.30%,8.99%,Tier 3
CR384,An Tv 37,Ẩm thực,25488,34,13.69%,2972,7.04%,2.09%,Tier 3
CR385,Bình Studio 70,Công nghệ,18976,18,-2.25%,6273,4.08%,3.60%,Tier 3
CR386,Bình Food 73,Công nghệ,38805,40,19.32%,7644,6.87%,8.40%,Tier 3
CR387,Đức Tv 95,Thời trang & Làm đẹp,31542,40,7.68%,10000,4.89%,12.01%,Tier 3
CR388,Đức Tech 52,Giáo dục & Kiến thức,35725,39,-5.02%,8604,9.05%,21.76%,Tier 3
CR389,Kiên Vlog 36,Giải trí,1944844,12,19.89%,298719,8.66%,16.12%,Tier 2
CR390,Kiều Vlog 66,Du lịch & Đời sống,2077,6,3.03%,200,9.96%,20.66%,Mass
CR391,Đức Beauty 44,Ẩm thực,16683,59,3.73%,2449,5.52%,7.71%,Tier 3
CR392,Kiều Tech 73,Thời trang & Làm đẹp,2981678,115,0.46%,728029,2.18%,60.41%,Tier 1
CR393,Kiên Channel 22,Du lịch & Đời sống,31785,60,4.64%,10755,7.47%,5.88%,Tier 3
CR394,An Review 36,Giải trí,24371,34,1.72%,4712,3.47%,13.32%,Tier 3
CR395,Minh Official 15,Giáo dục & Kiến thức,18706,47,11.68%,2950,6.29%,10.33%,Tier 3
CR396,An Studio 49,Giáo dục & Kiến thức,14637,24,15.92%,1288,6.34%,28.75%,Tier 3
CR397,Kiều Studio 65,Giáo dục & Kiến thức,48818,24,3.77%,12356,4.10%,12.74%,Tier 3
CR398,Hà Vlog 21,Du lịch & Đời sống,39330,48,19.01%,6812,8.51%,19.60%,Tier 3
CR399,Hoàng Channel 19,Ẩm thực,39117,51,15.39%,12849,1.52%,7.32%,Tier 3
CR400,Đức Beauty 51,Du lịch & Đời sống,824989,110,2.36%,231725,8.00%,7.04%,Tier 1
CR401,Trang Beauty 12,Ẩm thực,2261484,11,-3.97%,307937,2.50%,28.32%,Tier 2
CR402,Linh Tips 70,Ẩm thực,518427,5,14.30%,34198,7.60%,16.49%,Tier 2
CR403,Bình Studio 78,Công nghệ,34905,27,19.35%,12494,7.76%,29.53%,Tier 3
CR404,Tuấn Official 58,Giải trí,1339487,28,1.82%,455898,6.77%,65.30%,Tier 2
CR405,Trang Makeup 43,Công nghệ,78755,70,0.30%,22761,11.34%,62.09%,Tier 2
CR406,Linh Vlog 82,Thời trang & Làm đẹp,1832358,38,7.64%,97775,11.87%,30.52%,Tier 2
CR407,Kiều Review 94,Giáo dục & Kiến thức,65629,55,6.03%,22669,3.59%,18.07%,Tier 2
CR408,Hà Tv 25,Ẩm thực,35667,31,-0.77%,3435,1.75%,13.70%,Tier 3
CR409,Minh Official 12,Giáo dục & Kiến thức,178874,115,13.61%,21280,10.81%,37.91%,Tier 1
CR410,Lan Review 65,Công nghệ,20863,30,-1.24%,3742,8.18%,2.47%,Tier 3
CR411,Tuấn Official 57,Thời trang & Làm đẹp,3365696,13,21.94%,1083571,11.39%,13.71%,Tier 2
CR412,Linh Tips 61,Giải trí,19529,38,20.37%,5492,4.49%,22.97%,Tier 3
CR413,Quỳnh Food 83,Ẩm thực,99853,29,17.84%,18515,7.64%,13.68%,Tier 2
CR414,Bình Official 12,Du lịch & Đời sống,1392275,8,4.62%,113867,3.57%,24.20%,Tier 2
CR415,Kiên Tv 97,Du lịch & Đời sống,322204,5,17.56%,48412,11.32%,24.46%,Tier 2
CR416,Kiều Vlog 75,Giáo dục & Kiến thức,7122,46,10.16%,382,4.03%,5.29%,Mass
CR417,Tuấn Food 51,Thời trang & Làm đẹp,9987,28,13.02%,2519,8.83%,9.33%,Mass
CR418,An Tips 74,Giáo dục & Kiến thức,27091,52,7.16%,4810,9.77%,29.68%,Tier 3
CR419,An Review 96,Ẩm thực,26609,41,17.11%,8608,7.46%,19.28%,Tier 3
CR420,Lan Studio 77,Du lịch & Đời sống,3128909,12,10.94%,691406,1.37%,29.07%,Tier 2
CR421,Kiên Makeup 82,Du lịch & Đời sống,97619,78,5.21%,16137,11.78%,3.84%,Tier 2
CR422,Trang Official 49,Công nghệ,52172,40,6.82%,16826,1.98%,9.24%,Tier 2
CR423,Linh Beauty 94,Du lịch & Đời sống,42841,19,-4.23%,13155,10.70%,29.91%,Tier 3
CR424,An Tv 87,Du lịch & Đời sống,3295827,112,13.78%,996347,6.63%,71.21%,Tier 1
CR425,Đức Makeup 66,Ẩm thực,9070,14,-5.11%,3106,11.52%,20.05%,Mass
CR426,Minh Tech 21,Ẩm thực,3298094,99,10.27%,697388,4.98%,6.02%,Tier 1
CR427,Hà Makeup 64,Giải trí,36409,39,8.45%,3137,8.34%,26.65%,Tier 3
CR428,Minh Beauty 31,Ẩm thực,21739,18,16.90%,4261,2.14%,7.95%,Tier 3
CR429,Trang Studio 43,Giải trí,74707,51,12.61%,13827,11.79%,19.56%,Tier 2
CR430,Kiên Official 72,Thời trang & Làm đẹp,35220,21,-0.54%,4419,7.81%,6.85%,Tier 3
CR431,Đức Tech 86,Giáo dục & Kiến thức,20677,49,-2.45%,1223,1.52%,21.84%,Tier 3
CR432,Bình Makeup 63,Giải trí,45178,57,16.58%,12253,10.04%,6.08%,Tier 3
CR433,Linh Tv 95,Công nghệ,43169,50,0.07%,3723,11.72%,16.42%,Tier 3
CR434,Trang Makeup 21,Ẩm thực,433788,5,15.57%,47310,6.12%,3.42%,Tier 2
CR435,Nam Studio 99,Giải trí,33021,28,13.28%,2313,6.96%,10.71%,Tier 3
CR436,An Food 86,Giáo dục & Kiến thức,22057,53,10.93%,3847,6.14%,27.37%,Tier 3
CR437,Kiên Channel 66,Ẩm thực,14839,47,3.62%,1064,4.90%,14.04%,Tier 3
CR438,Hà Studio 29,Giải trí,25690,26,-3.88%,4657,10.21%,16.76%,Tier 3
CR439,Đức Official 95,Công nghệ,28601,55,12.38%,6524,10.21%,13.16%,Tier 3
CR440,Kiều Official 14,Ẩm thực,55187,96,4.10%,11426,11.02%,44.51%,Tier 2
CR441,Minh Makeup 57,Du lịch & Đời sống,28098,24,13.81%,1129,11.82%,28.17%,Tier 3
CR442,Nam Tv 26,Giáo dục & Kiến thức,43287,22,11.41%,13615,11.34%,16.81%,Tier 3
CR443,Minh Vlog 19,Giải trí,51572,75,-2.54%,10972,4.37%,18.65%,Tier 2
CR444,An Review 84,Công nghệ,49314,32,14.45%,9083,3.39%,23.11%,Tier 3
CR445,Kiên Tips 36,Du lịch & Đời sống,13436,51,16.95%,1875,10.65%,2.94%,Tier 3
CR446,Linh Makeup 54,Du lịch & Đời sống,1976200,115,-5.03%,116946,3.96%,63.18%,Tier 1
CR447,Kiên Tips 34,Công nghệ,3952,33,20.74%,963,6.25%,21.09%,Mass
CR448,Hoàng Food 66,Giáo dục & Kiến thức,1953383,110,3.91%,304887,4.32%,76.95%,Tier 1
CR449,Bình Tips 98,Công nghệ,46301,59,22.47%,12309,7.71%,4.32%,Tier 3
CR450,Quỳnh Official 33,Du lịch & Đời sống,299048,13,-5.07%,31715,9.59%,25.88%,Tier 2
CR451,Kiên Tv 28,Giải trí,60858,38,8.90%,13771,3.56%,17.93%,Tier 2
CR452,Hà Beauty 57,Thời trang & Làm đẹp,149819,8,7.57%,40623,11.54%,12.94%,Tier 2
CR453,Hoàng Review 25,Công nghệ,2683520,100,22.05%,325214,2.16%,1.20%,Tier 1
CR454,Linh Channel 47,Giải trí,25835,33,10.68%,3577,7.02%,24.61%,Tier 3
CR455,Bình Review 73,Giải trí,15525,28,11.75%,3815,7.20%,20.68%,Tier 3
CR456,Nam Channel 94,Giải trí,74132,52,14.63%,12898,7.29%,11.25%,Tier 2
CR457,Kiều Channel 71,Du lịch & Đời sống,5562,37,16.66%,922,3.99%,6.17%,Mass
CR458,Kiên Food 88,Công nghệ,25589,46,20.87%,2962,6.91%,12.64%,Tier 3
CR459,Đức Makeup 35,Công nghệ,1647184,2,19.04%,352396,9.63%,20.70%,Tier 2
CR460,Đức Tv 23,Công nghệ,39745,60,3.94%,11840,6.51%,24.67%,Tier 3
CR461,Quỳnh Food 34,Thời trang & Làm đẹp,353518,79,6.53%,82692,9.40%,7.48%,Tier 1
CR462,Hoàng Tips 71,Giáo dục & Kiến thức,38165,45,0.57%,6897,3.56%,8.79%,Tier 3
CR463,An Makeup 27,Giải trí,52055,35,6.95%,6349,7.76%,18.39%,Tier 2
CR464,Kiên Channel 12,Giáo dục & Kiến thức,599186,3,16.62%,67742,8.86%,29.20%,Tier 2
CR465,Linh Food 73,Công nghệ,1159880,80,7.46%,339633,10.99%,51.35%,Tier 1
CR466,Kiên Channel 92,Giáo dục & Kiến thức,1309181,12,8.60%,176730,5.86%,24.38%,Tier 2
CR467,Nam Vlog 62,Ẩm thực,29198,23,11.38%,10079,4.77%,20.17%,Tier 3
CR468,Đức Studio 96,Giải trí,36318,50,18.36%,10505,1.34%,6.22%,Tier 3
CR469,Kiên Tips 52,Công nghệ,12846,34,19.31%,3712,8.36%,1.95%,Tier 3
CR470,An Beauty 94,Ẩm thực,5908,31,8.08%,1378,4.10%,2.55%,Mass
CR471,Đức Review 32,Du lịch & Đời sống,34442,31,22.33%,1921,7.82%,18.74%,Tier 3
CR472,Bình Tech 75,Thời trang & Làm đẹp,47657,35,12.42%,8523,2.84%,5.71%,Tier 3
CR473,Trang Food 76,Ẩm thực,550782,6,8.95%,177856,6.97%,7.93%,Tier 2
CR474,Hà Beauty 92,Giáo dục & Kiến thức,34859,47,4.14%,5593,5.88%,17.22%,Tier 3
CR475,Kiên Tips 78,Du lịch & Đời sống,923436,6,6.98%,56270,10.36%,23.49%,Tier 2
CR476,An Makeup 25,Công nghệ,62202,73,11.37%,12185,6.67%,18.12%,Tier 2
CR477,Hà Official 21,Giáo dục & Kiến thức,11649,36,15.52%,1577,11.72%,29.64%,Tier 3
CR478,Nam Official 41,Giáo dục & Kiến thức,15306,60,14.99%,3952,2.93%,3.75%,Tier 3
CR479,Minh Official 25,Giải trí,33043,30,1.38%,2213,2.56%,28.60%,Tier 3
CR480,An Studio 50,Ẩm thực,61001,78,16.13%,6921,7.47%,12.75%,Tier 2
CR481,Tuấn Review 97,Du lịch & Đời sống,1557,29,11.96%,233,5.39%,0.70%,Mass
CR482,Kiên Tips 92,Giáo dục & Kiến thức,5183,59,17.69%,548,9.34%,18.72%,Mass
CR483,Hoàng Review 68,Du lịch & Đời sống,2671200,2,3.56%,591870,2.05%,23.25%,Tier 2
CR484,An Beauty 82,Giáo dục & Kiến thức,845788,5,5.87%,268622,6.38%,18.19%,Tier 2
CR485,An Food 92,Công nghệ,5354,60,6.25%,1127,10.31%,24.52%,Mass
CR486,Lan Tv 11,Giải trí,388113,83,13.56%,37442,7.74%,74.51%,Tier 1
CR487,Kiều Tips 85,Giáo dục & Kiến thức,33672,32,0.21%,9033,9.20%,29.10%,Tier 3
CR488,Minh Tv 87,Giải trí,21748,16,16.07%,5958,2.61%,13.77%,Tier 3
CR489,Nam Review 39,Công nghệ,44238,51,11.06%,3430,5.71%,24.59%,Tier 3
CR490,Tuấn Food 42,Thời trang & Làm đẹp,73969,59,19.22%,14722,10.75%,17.29%,Tier 2
CR491,Bình Studio 34,Thời trang & Làm đẹp,2065742,49,3.22%,429275,3.89%,38.51%,Tier 1
CR492,Hoàng Food 88,Giáo dục & Kiến thức,30283,21,-1.25%,9234,2.03%,23.60%,Tier 3
CR493,Bình Tech 23,Giải trí,125683,50,7.00%,23159,7.32%,43.98%,Tier 1
CR494,Hoàng Review 91,Ẩm thực,39451,21,22.16%,6590,7.70%,23.29%,Tier 3
CR495,Kiều Official 77,Thời trang & Làm đẹp,23627,17,17.13%,1660,1.86%,28.94%,Tier 3
CR496,Kiên Studio 77,Giải trí,88545,40,21.35%,19532,2.69%,4.92%,Tier 2
CR497,Quỳnh Review 92,Công nghệ,25572,60,22.78%,7945,9.43%,16.90%,Tier 3
CR498,Bình Tech 21,Công nghệ,2389785,2,4.79%,157218,9.72%,18.65%,Tier 2
CR499,Minh Channel 27,Ẩm thực,41959,18,-1.69%,2182,1.55%,28.21%,Tier 3
CR500,Đức Studio 67,Ẩm thực,30667,54,5.07%,8909,7.05%,10.54%,Tier 3
CR501,Lan Tips 83,Giải trí,36703,42,-4.14%,3727,7.04%,4.33%,Tier 3
CR502,An Makeup 32,Ẩm thực,53827,38,17.39%,2982,6.13%,8.46%,Tier 2
CR503,Lan Vlog 90,Công nghệ,30221,38,1.39%,6939,11.54%,2.58%,Tier 3
CR504,Lan Official 14,Công nghệ,22467,49,14.80%,1950,10.50%,4.77%,Tier 3
CR505,Tuấn Makeup 74,Giải trí,1778,33,5.79%,488,6.01%,17.15%,Mass
CR506,Linh Beauty 40,Du lịch & Đời sống,47711,47,0.90%,13260,9.89%,29.21%,Tier 3
CR507,Đức Vlog 78,Giải trí,9657,40,15.30%,2467,5.42%,10.52%,Mass
CR508,Hà Makeup 77,Công nghệ,6182,40,0.56%,1130,2.72%,23.29%,Mass
CR509,Đức Review 66,Ẩm thực,37561,24,-1.35%,6760,5.17%,7.26%,Tier 3
CR510,Quỳnh Vlog 29,Du lịch & Đời sống,25646,37,-4.71%,5381,7.50%,29.62%,Tier 3
CR511,Minh Tv 90,Công nghệ,43462,28,22.39%,9849,5.25%,1.60%,Tier 3
CR512,Trang Makeup 36,Thời trang & Làm đẹp,45372,31,10.43%,7476,2.51%,2.20%,Tier 3
CR513,Lan Makeup 77,Giáo dục & Kiến thức,2550405,67,-1.98%,453543,4.37%,47.67%,Tier 1
CR514,Minh Studio 59,Giải trí,18729,51,8.39%,5308,4.43%,15.29%,Tier 3
CR515,Quỳnh Review 27,Thời trang & Làm đẹp,11374,30,18.06%,3622,8.93%,15.90%,Tier 3
CR516,Tuấn Tv 84,Giáo dục & Kiến thức,2072,3,0.03%,200,4.29%,24.25%,Mass
CR517,An Vlog 95,Du lịch & Đời sống,45249,37,0.30%,7665,5.41%,8.23%,Tier 3
CR518,Kiều Studio 49,Giáo dục & Kiến thức,89651,30,22.56%,26331,11.83%,0.05%,Tier 2
CR519,Quỳnh Vlog 37,Giáo dục & Kiến thức,71013,41,5.96%,16187,6.93%,12.54%,Tier 2
CR520,Bình Channel 49,Ẩm thực,2203775,2,3.28%,521019,2.87%,16.48%,Tier 2
CR521,Nam Food 87,Ẩm thực,65325,60,-0.39%,10721,5.16%,6.54%,Tier 2
CR522,Bình Food 76,Giải trí,48117,40,22.25%,16187,2.34%,75.79%,Tier 3
CR523,An Tech 64,Giáo dục & Kiến thức,200791,69,18.63%,57753,11.06%,4.14%,Tier 1
CR524,Tuấn Beauty 20,Giải trí,1981676,44,0.97%,115483,3.99%,79.04%,Tier 2
CR525,Trang Tech 63,Ẩm thực,26529,48,21.26%,2248,6.57%,29.66%,Tier 3
CR526,Hoàng Official 83,Ẩm thực,1034198,112,21.63%,53090,9.38%,36.55%,Tier 1
CR527,Quỳnh Vlog 43,Ẩm thực,15286,35,0.76%,4781,5.30%,29.68%,Tier 3
CR528,Nam Food 18,Thời trang & Làm đẹp,27045,18,16.48%,7810,8.95%,6.48%,Tier 3
